Designator,Value,Comment,Footprint,Symbol,Quantity,MPN
C1,10uF,Cap,CHIP0805-M,Cap,1,
"C2, C8, C10",100nF,Cap,CHIP0805-M,Cap,3,
"C11, C19",100uF 63V,,RADIAL-D8-P35,Cap,2,UVR1J101MPD
C21,22uF 16v,,CHIP0805-M,Cap,1,
CN6,,Header 8,HDR1X8-P254,Header 8,1,
"D1, D2, D3, D4, D5, D6",*,CDSOD323-T05LC,CDSOD323_BRN-M,CDSOD323-T05LC,6,CDSOD323-T05LC
D9,,SMBJ33A,SMB-DO214AA-M,SMBJ33A,1,SMBJ33A
D10,Diode,Diode-NC_pin,SOT23-3-M,Diode-NC_pin,1,BZX84C12
F1,,Fuse 2A,FUSEHOLDER-5X20-P226,Fuse 1,1,T2A 5x20 + holder PTF-78 / 0031.8001
"J1, J2, J3, J4, J5, J6",,P0,PHX-MC15-3-G-35,Header 3,6,Phoenix 1844223 (3P)
J7,,CN10,HDR2X20-BOX,Header 20X2,1,
"J9, J10, J11, J12",,SHT45,PHX-MC15-4-G-35,Header 4,4,Phoenix 1844223 (4P)
J13,,USB-serial adapter,HDR1X3-P254,Header 3,1,
J14,,24v,PHX-MC15-2-G-35,Header 2,1,Phoenix 1844210 (2P)
Q1,,AO3401A,SOT23-3-M,AO3401A,1,AO3401A
Q2,,DMP6023LE-13,DMP6023LE-13_DIO-M,DMP6023LE-13,1,DMP6023LE-13
R1,100K,pullup,CHIP0805-M,Res1,1,
"R2, R9, R10, R11, R12, R13, R14",100R,pullup,CHIP0805-M,Res1,7,
"R3, R4, R5, R6, R7, R8, R15, R16",4.7K,pullup,CHIP0805-M,Res1,8,
"R17, R18, R19, R20, R21, R22, R39, R40",2.2K,pullup,CHIP0805-M,Res1,8,
R23,10K,220R,CHIP0805-M,Res1,1,
R24,300k,pullup,CHIP0805-M,Res1,1,
R25,30k,pullup,CHIP0805-M,Res1,1,
R38,470k,pullup,CHIP0805-M,Res1,1,
U3,,TCA9548APWR,PW24_TEX,TCA9548APWR,1,TCA9548APWR
U7,*,TSR_1-2433,CONV_TSR_1-2433,TSR_1-2433,1,TSR 1-2433
